1,Flesh and the Devil,Claudine Hirche,695255409-2,1
2,"Slumber Party Massacre, The",Alecia Polycote,057219088-3,1
3,"Clonus Horror, The",Demetris McAlester,198033622-9,1
4,"O Brother, Where Art Thou?",Kristyn Douch,870122662-2,1
5,Red Lights (Feux rouges),Therine Mc Grath,687466479-4,1
6,Fury,Lianne Mayhow,327997224-8,1
7,Alone for Christmas,Aksel D'Ambrogi,147671554-8,1
8,Rudy,Toinette Grigor,009053782-3,1
9,"Twilight Samurai, The (Tasogare Seibei)",Katy Titcomb,063954948-9,1
10,Neighbors,Maire Rive,839509939-8,1
11,"Bête humaine, La",Margarette Beals,286641275-3,1
12,Romeo and Juliet,Arlana Harriott,108479409-8,1
13,Blue Valentine,Caro Derrett,761507515-7,1
14,Music for One Apartment and Six Drummers,Bridget Sinkinson,760023852-7,1
15,Celeste and Jesse Forever (Celeste & Jesse Forever),Theodosia Ottery,853725553-X,1
16,Before Midnight,Dermot Cotterel,621321019-9,1
17,Solo ,Artie MacCafferky,190736999-6,1
18,Valley of Head Hunters,Yorker Filyaev,757057008-1,1
19,"She No Longer Talks, She Shoots",Welch Goldberg,556606918-5,1
20,BloodRayne,Andi Lithgow,947110857-8,1
21,Disco Dancer,Isabelita Janway,706987711-0,1
22,Firestarter,Tilda Schirak,702450665-2,1
23,Lisa Picard is Famous (a.k.a. Famous),Kathye Morphew,066419203-3,1
24,Sunday,Terrel McGlone,855244339-2,1
25,Around the World in 80 Days,Rosalinda Jeppe,694337852-X,1
26,Ronal the Barbarian,Pieter Tesche,175498085-6,1
27,Pianomania,Chloe Eacott,825581127-3,1
28,David Holzman's Diary,Shanda Slinn,688897414-6,1
29,There's Always Tomorrow,Teresita MacGorman,486923723-7,1
30,Night Train,Maximilianus Bernhard,946155190-8,1
31,Adam and Dog,Celene Penni,080293680-6,1
32,"Werewolf, The",Tildi O'Nions,524427717-0,1
33,Pure Country,Lynea Barroux,965895175-9,1
34,"Manitou, The",Ash Fenech,568687861-7,1
35,Dark Journey,Jannelle Petracci,680987525-5,1
36,Emergo (Apartment 143),Marlo Eggleson,996833582-7,1
37,Hoffman,Violante Corston,836599539-5,1
38,Without Warning,Elisabeth Truce,506857116-4,1
39,Crossfire,Winona Sousa,400380661-1,1
40,Toy Story of Terror,Lurline Sitlinton,782203582-7,1
41,Come See the Paradise,Katti Tarbath,010883385-2,1
42,Together (Han ni Zai Yiki),Enrico Knewstub,351893527-5,1
43,Tokyo Chorus (Tôkyô no kôrasu),Koral Betteriss,647856181-X,1
44,Il cappotto di legno,Bryn Yakushkin,378781277-6,1
45,Sleepwalk with Me,Camellia Yurchishin,317487160-3,1
